VID,Speed,Position(X),Position(Y),LID
veh0,4,3384.8727117370377,1210.7969347577682,:cluster_2697454314_2697454315_38918157_57343487_1_0
veh1,12,4135.297249115028,528.0870111553886,:cluster_1560223374_1560223386_1_0
veh10,14,1967.5757234630953,883.6430861598191,-141968853#2_0
veh11,10,872.1849223166628,1391.4800904025892,27077898#0_1
veh12,22,2224.9411878804053,700.1227127737343,22762377-AddedOffRampEdge_2
veh13,9,1968.3058190485744,3800.103316355585,-4566706#3_0
veh14,3,1275.7118751360565,1745.4579982739485,:cluster_412543168_681323998_5_0
veh15,12,2132.588846555966,833.2145905229319,-141968853#2_0
veh16,19,1297.1390875410834,1070.152043800104,292525977_0
veh17,12,769.849405026559,1291.9762230740864,22721677#4_0
veh18,12,5010.354526208561,3636.453436701112,51939089_0
veh19,15,3560.9353472371795,1384.8341914453702,670062912#0_0
veh2,16,2819.4543861306893,2672.853533495838,460217094_1
veh20,10,1661.9265009385877,3460.079299757261,348583831#0_2
veh21,7,2302.0771098981154,611.3259077550746,16942869_0
veh22,3,1415.6335104734192,1810.397384169858,-339558638#6_0
veh23,0,3588.6049021267395,1474.8770934173467,-52080655#2_0
veh3,10,5042.673320505379,2536.5490893571277,:297101109_2_0
veh4,14,4572.4739443192,2944.9194328523854,395077041_0
veh5,6,4147.610409515514,533.7575434946899,48298278#0_1
veh6,4,2343.1344124645443,612.6916732729661,:cluster_1560223510_1906766907_6_0
veh7,14,1040.0842039480585,1249.8040899738462,206579085_0
veh8,12,3631.646785019253,1735.8351869548253,318210358_1
veh9,0,2342.6675829027904,626.4294204591081,206579064#0_0
